station,weight,latitude,longitude,elevation,leaflabel
15699,FJ000091652,0.0,-16.133,-179.983,63.0,1.0
19620,RSM00025173,77.0,68.9,-179.633,3.0,171.0
23279,RSM00025378,49.0,66.35,-179.117,26.0,171.0
15955,RSM00025372,40.0,67.033,-178.917,138.0,171.0
12216,RSM00021982,83.0,70.983,-178.65,4.0,171.0
22431,AYW00068701,0.0,-80.0167,-178.4167,101.2,1.0
22092,USW00025709,0.0,51.75,-178.0333,45.1,161.0
25262,USC00508995,2.0,51.75,-178.0333,44.2,161.0
19565,NZ000093994,66.0,-29.25,-177.917,49.0,1.0
957,MQW00022701,43.0,28.2,-177.3833,5.5,3.0
3502,USW00022703,0.0,28.2167,-177.3833,6.1,3.0
19503,MQC00914490,33.0,28.2167,-177.35,3.0,3.0
18017,USC00516271,3.0,28.2,-177.35,-999.9,3.0
11030,USW00025704,55.0,51.8833,-176.65,5.2,161.0
19566,NZ000939870,48.0,-43.95,-176.567,49.0,1.0
29451,WF000917530,39.0,-13.233,-176.167,27.0,1.0
23277,RSM00025282,41.0,67.833,-175.833,5.0,171.0
28853,USC00500433,17.0,52.2167,-174.2,11.9,161.0
25680,USW00025708,1.0,52.2167,-174.2,11.0,161.0
23413,TN000091780,5.0,-18.65,-173.983,10.0,1.0
8486,RSM00025594,77.0,64.382,-173.233,39.0,171.0
8634,TL000091724,0.0,-9.2,-171.917,3.0,1.0
23280,RSM00025392,1.0,66.933,-171.833,20.0,171.0
18423,USW00026703,20.0,63.7833,-171.75,8.2,171.0
15807,KRW00060702,0.0,-2.7333,-171.7167,1.2,1.0
12091,KRW00060703,18.0,-2.7667,-171.7167,3.0,1.0
4580,KRC00914101,23.0,-2.7667,-171.7167,3.0,1.0
14814,AQC00914822,2.0,-11.05,-171.0833,3.0,1.0
11150,AQC00914397,10.0,-14.35,-170.7833,6.1,1.0
7,AQC00914873,9.0,-14.35,-170.7667,14.9,1.0
3643,AQC00914869,7.0,-14.3333,-170.7167,3.0,1.0
11151,AQW00061705,47.0,-14.3306,-170.7136,3.7,1.0
18536,AQC00914021,3.0,-14.2667,-170.5833,6.1,1.0
14247,USC00508239,8.0,63.6936,-170.4808,16.2,171.0
18416,USW00025713,64.0,57.1553,-170.2222,10.7,163.0
25681,USW00025711,7.0,57.1575,-170.2119,6.1,163.0
26874,RSM00025399,44.0,66.15,-169.833,3.0,171.0
7255,USW00025628,16.0,56.6,-169.565,38.1,163.0
8331,JQW00021602,4.0,16.7333,-169.5333,4.3,1.0
10572,USC00508100,5.0,56.6,-169.5333,31.1,163.0
920,JQW00021604,1.0,16.7333,-169.5167,3.0,1.0
4575,JQW00021603,47.0,16.7333,-169.5167,3.0,1.0
12087,JQW00021601,8.0,16.7333,-169.5167,5.2,1.0
7265,USW00026632,16.0,63.3167,-168.9667,9.1,171.0
21626,USC00505517,4.0,65.75,-168.9333,137.2,171.0
11149,AQC00914188,1.0,-14.2167,-168.5333,6.1,1.0
7264,USW00026618,54.0,65.6239,-168.0992,7.6,171.0
17963,USC00504762,3.0,64.9333,-168.0167,30.5,171.0
29358,USW00026634,28.0,65.5667,-167.9167,82.0,171.0
22090,USW00025602,13.0,53.3833,-167.9,39.6,161.0
21598,USC00501601,7.0,53.4333,-167.35,9.1,161.0
6817,USC00507669,19.0,65.25,-166.8667,3.7,171.0
3081,USC00507431,10.0,68.35,-166.8,3.0,171.0
6780,USC00502587,65.0,53.895,-166.5433,3.0,161.0
6836,USC00509575,2.0,53.8833,-166.5333,6.7,161.0
10538,USC00502586,15.0,53.9167,-166.5,15.2,161.0
6830,USC00509102,26.0,65.2608,-166.3595,6.1,171.0
21681,USC00914401,24.0,23.8667,-166.2833,3.0,3.0
10984,USW00022602,0.0,23.7833,-166.2167,2.1,3.0
